"","undernourishment","child_wasting","child_stunting","child_mortality"
"Madagascar",44.4,10.3,54.8,4.4
"Malawi",17.5,2.8,37.4,5.5
"Malaysia",2.5,11.5,20.7,0.8
"Mali",6.3,9,26.9,10.6
"Mauritania",10.4,14.8,27.9,7.9
"Mauritius",6.5,7.3,6.7,1.3
"Mexico",3.6,2,10,1.3
"Moldova",NA,2.9,6.2,1.6
"Mongolia",13.4,1.3,7.3,1.7
"Montenegro",2.5,3.1,7.1,0.4
"Morocco",3.4,3.4,16.6,2.3
"Mozambique",27.9,3.7,34.5,7.2
"Myanmar",10.6,6.6,29.4,4.9
"Namibia",27.3,6.5,23.9,4.4
"Nepal",8.7,9.6,36,3.4
"Nicaragua",17,1.2,16.5,1.7
"Niger",16.5,10.1,40.6,8.5
"Nigeria",13.4,7.1,37,10
"North Korea",47.8,2.5,19.1,1.9
"North Macedonia",3.2,2.5,6.6,1.4
"Oman",6.8,7.5,14.1,1.1
"Pakistan",20.3,7.1,37.6,7.5
"Panama",10,1,12.6,1.6
"Papua New Guinea",NA,7.1,39.9,5.3
"Paraguay",10.7,1,5.6,2.1
"Peru",9.7,0.5,12.9,1.5
"Philippines",13.3,7.1,33.4,2.8
"Qatar",NA,1.2,0.8,0.8
"Romania",2.5,2.6,6.6,0.8
"Russian Federation",2.5,3.9,10.7,0.8
"Rwanda",36.8,2.1,37.6,3.8
"Saudi Arabia",7.1,5.3,8.2,0.7
"Senegal",11.3,9,16.5,4.5
"Serbia",5.7,3.9,6,0.6
"Sierra Leone",25.6,5.1,26.4,11.1
"Slovak Republic",3.4,2.4,3.3,0.6
"Somalia",NA,NA,NA,12.7
"South Africa",6.2,2.5,27.4,3.7
"South Sudan",NA,NA,NA,9.6
"Sri Lanka",9,15.1,17.3,0.9
"Sudan",20.1,16.8,38.2,6.3
"Suriname",8.5,5.5,9.6,2
"Syrian Arab Republic",NA,NA,NA,1.7
"Tajikistan",NA,5.6,17.5,3.4
"Tanzania",30.7,4.5,34.5,5.4
"Thailand",7.8,5.4,10.5,1
"Timor-Leste",24.9,14.4,48.6,4.8
"Togo",16.1,6.6,27.6,7.3
"Trinidad & Tobago",5.5,5.3,5.7,2.6
"Tunisia",4.3,2.1,8.3,1.3
"Turkey",2.5,1.9,9.9,1.2
"Turkmenistan",5.4,4.2,11.5,4.7
"Uganda",41,3.5,28.9,4.9
"Ukraine",3.5,1.3,6,0.9
"Uruguay",2.5,1.9,8.8,0.8
"Uzbekistan",6.3,5,12.9,2.3
"Venezuela",21.2,3.5,13.3,3.1
"Viet Nam",9.3,6.4,24.6,2.1
"Yemen",38.9,17.9,61.1,5.5
"Zambia",46.7,6.2,40,6
"Zimbabwe",51.3,3.3,27.1,5
